plant,plant_desc,sales_organization,sales_organization_desc,bts_month,material,material_description,product_desc,product_code,product_grade,product_bag,quantity_in_kg,quantity_in_mt,quantity_in_lb,as_on_date,update_datetime,production_date,region,vertical,company_segment,so_known_name,line_no,product_quality,product_family,order_type_desc
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000343,"PET,G1,A,JB/NL,1150KG,NB","PET,G1,A,JB/NL,1150KG,NB",G1,,JB/NL,25,0.025,55.115,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-05,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000343,"PET,G1,A,JB/NL,1150KG,NB","PET,G1,A,JB/NL,1150KG,NB",G1,,JB/NL,2300,2.3000000000000003,5070.58,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-03,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000343,"PET,G1,A,JB/NL,1150KG,NB","PET,G1,A,JB/NL,1150KG,NB",G1,,JB/NL,11500,11.5,25352.9,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-03,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000343,"PET,G1,A,JB/NL,1150KG,NB","PET,G1,A,JB/NL,1150KG,NB",G1,,JB/NL,34500,34.5,76058.7,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-03,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000343,"PET,G1,A,JB/NL,1150KG,NB","PET,G1,A,JB/NL,1150KG,NB",G1,,JB/NL,57500,57.5,126764.5,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-03,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000343,"PET,G1,A,JB/NL,1150KG,NB","PET,G1,A,JB/NL,1150KG,NB",G1,,JB/NL,92000,92.0,202823.2,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-02,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000343,"PET,G1,A,JB/NL,1150KG,NB","PET,G1,A,JB/NL,1150KG,NB",G1,,JB/NL,11500,11.5,25352.9,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-02,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000343,"PET,G1,A,JB/NL,1150KG,NB","PET,G1,A,JB/NL,1150KG,NB",G1,,JB/NL,9200,9.200000000000001,20282.32,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-01,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000343,"PET,G1,A,JB/NL,1150KG,NB","PET,G1,A,JB/NL,1150KG,NB",G1,,JB/NL,62100,62.1,136905.66,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-01,APAC,PET,IPET,GIVL,,A,,
A312,"Guangdong IVL PET Polymer Co., Ltd",CN50,GIVL PET Poly Co.Ltd,Jul-24,2003000410,"PET,HV3012,A,JB/NL,1150KG,NB","PET,HV3012,A,JB/NL,1150KG,NB",HV3012,,JB/NL,11500,11.5,25352.9,2024-07-24,2024-07-24 18:19:22.640411+05:30,2024-07-20,APAC,PET,IPET,GIVL,,A,,
